rom,title,year,manufacturer
fcnudgeo2,"Fruit Carnival Nudge (Version 2.0, set 2)",2003,Amcoe
fcnudgeo3,Fruit Carnival Nudge (Version 1.7),2003,Amcoe
fcockt2,Fruit Cocktail 2 (080707 Russia),2008,Igrosoft
fcockt2_3,Fruit Cocktail 2 (080909 World),2008,Igrosoft
fcockt2_4,Fruit Cocktail 2 (081105 World),2008,Igrosoft
fcockt2_4a,"Fruit Cocktail 2 (bootleg, 081105, banking address hack)",2008,bootleg
fcockt2_4b,"Fruit Cocktail 2 (bootleg, 081105, banking address hack, no credit limit)",2008,bootleg
fcockt2_4c,"Fruit Cocktail 2 (bootleg, 081105, VIDEO GAME-1 FR02)",2008,bootleg
fcockt2_4d,"Fruit Cocktail 2 (bootleg, 081105, banking address hack, payout percentage 70)",2008,bootleg
fcockt2_4e,"Fruit Cocktail 2 (bootleg, 081105, LOTTOGAME (I))",2008,bootleg
fcockt2_4f,"Fruit Cocktail 2 (bootleg, 081105, LOTOS FR02)",2008,bootleg
fcockt2_5,Fruit Cocktail 2 (081106 Russia),2008,Igrosoft
fcockt2_6,Fruit Cocktail 2 (090528 Lottery),2008,Igrosoft
fcockt2_7,Fruit Cocktail 2 (090813 Entertainment),2008,Igrosoft
fcockt2a,"Fruit Cocktail 2 (bootleg, 080707, banking address hack)",2008,bootleg
fcockt_10,Fruit Cocktail (070517 Russia),2003,Igrosoft
fcockt_11,Fruit Cocktail (070822 Russia),2003,Igrosoft
fcockt_12,Fruit Cocktail (070911 Russia),2003,Igrosoft
fcockt_14,Fruit Cocktail (090708 Entertainment),2003,Igrosoft
fcockt_3,Fruit Cocktail (030623 World),2003,Igrosoft
fcockt_5,Fruit Cocktail (031111 World),2003,Igrosoft
fcockt_6,Fruit Cocktail (040216 World),2003,Igrosoft
fcockt_6a,"Fruit Cocktail (bootleg, 040216, banking address hack)",2003,bootleg
fcockt_6b,"Fruit Cocktail (bootleg, 040216, backdoor)",2003,bootleg
fcockt_6c,"Fruit Cocktail (bootleg, 040216, LotoRossy+)",2003,bootleg
fcockt_6d,"Fruit Cocktail (bootleg, 040216, VIDEO GAME-1 FR01)",2003,bootleg
fcockt_7,Fruit Cocktail (050118 World),2003,Igrosoft
fcockt_7a,"Fruit Cocktail (bootleg, 050118, backdoor)",2003,bootleg
fcockt_7b,"Fruit Cocktail (bootleg, 050118, VIDEO GAME-1 FR01)",2003,bootleg
fcockt_7c,"Fruit Cocktail (bootleg, 050118, payout percentage 40)",2003,bootleg
fcockt_7d,"Fruit Cocktail (bootleg, 050118, payout percentage 60)",2003,bootleg
fcockt_7e,"Fruit Cocktail (bootleg, 050118, payout percentage 70)",2003,bootleg
fcockt_7f,"Fruit Cocktail (bootleg, 050118, changed version text)",2003,bootleg
fcockt_7g,"Fruit Cocktail (bootleg, 050118, LOTO PROGRAM V-FC2)",2003,bootleg
fcockt_7h,"Fruit Cocktail (bootleg, 050118, LOTOS FR01)",2003,bootleg
fcockt_8,Fruit Cocktail (060111 World),2003,Igrosoft
fcockt_8a,"Fruit Cocktail (bootleg, 060111, LOTO COCKTAIL V01-0001)",2003,bootleg
fcockt_8b,"Fruit Cocktail (bootleg, 060111, LOTTOGAME (I))",2003,bootleg
fcockt_9,Fruit Cocktail (070305 Russia),2003,Igrosoft
fcombat,Field Combat,1985,Jaleco
fcrash,Final Crash (bootleg of Final Fight),1990,bootleg (Playmark)
fd1089a,FD1089A,,
fd1089b,FD1089B,,
fd1094,FD1094,,
fd1771,FD1771,,
fd1791,FD1791,,
fd1793,FD1793,,
fd1795,FD1795,,
fd1797,FD1797,,
fd2000,FD-2000,,
fd4000,FD-4000,,
fd800,TI FD800 Diablo floppy disk controller,,
fdc344,Ably-Tech FDC-344,,
fdc37c665gt,FDC37C665GT,,
fdcmag,Magitronic Multi Floppy Controller Card,,
fdpc200,DPC-200 (MSX1) ,1983,Fenner
fds,Famicom (w/ Disk System add-on),1983,Nintendo
feagv10,Elite Avant Garde (model 6117-10),1990,Fidelity Electronics
feagv11,Elite Avant Garde (model 6117-11),2002,hack (Wilfried Bucke)
feagv2,Elite Avant Garde (model 6114-2/3/4),1989,Fidelity Electronics
feagv7,Elite Avant Garde (model 6117-7),1990,Fidelity Electronics
fearless,Fearless Pinocchio (V101US),2006,IGS
fellow,Fellow (Finland),1983,Salora
fenix,Fenix (bootleg of Phoenix),1980,bootleg
feversoc,Fever Soccer,2004,Seibu Kaihatsu
feversos,"Fever SOS (International, Ver. 98/09/25)",1998,Cave (Nihon System license)
fexcel,Excellence (model 6080/6093),1987,Fidelity Electronics
fexcelv,Voice Excellence,1987,Fidelity Electronics
ffantasy,Fighting Fantasy (Japan revision 2),1989,Data East Corporation
ffantasya,Fighting Fantasy (Japan),1989,Data East Corporation
ffantasybl,Fighting Fantasy (bootleg with 68705),1989,bootleg
ffight,"Final Fight (World, set 1)",1989,Capcom
ffight2b,Final Fight 2 (SNES bootleg),1996,bootleg
ffighta,"Final Fight (World, set 2)",1989,Capcom
ffightbl,Final Fight (bootleg),1990,bootleg
ffightbla,Final Fight (bootleg on Final Crash PCB),1990,bootleg
ffightj,Final Fight (Japan),1989,Capcom
ffightj1,Final Fight (Japan 900112),1989,Capcom
ffightj2,Final Fight (Japan 900305),1989,Capcom
ffightj3,Final Fight (Japan 900613),1989,Capcom
ffightjh,"Street Smart / Final Fight (Japan, hack)",1989,bootleg
ffightu,"Final Fight (USA, set 1)",1989,Capcom
ffightu1,"Final Fight (USA, set 2)",1989,Capcom
ffightua,Final Fight (USA 900112),1989,Capcom
ffightub,Final Fight (USA 900424),1989,Capcom
ffightuc,Final Fight (USA 900613),1989,Capcom
fforce2,Fountain Force 2,1979,Fountain
ffortune,"Fantasy Fortune (1VXFC5460, New Zealand)",1998,Aristocrat
ffreveng,Final Fight Revenge (JUET 990930 V1.100),1999,Capcom
ffrevng10,Final Fight Revenge (JUET 990714 V1.000),1999,Capcom
ffv101,Flipper Football (v1.01),1996,Capcom
ffv104,Flipper Football (v1.04),1996,Capcom
fg_1000af,"Family Guy v10.0 (English,French)",2007,Stern
fg_1000ag,"Family Guy v10.0 (English,German)",2007,Stern
fg_1000ai,"Family Guy v10.0 (English,Italian)",2007,Stern
fg_1000al,"Family Guy v10.0 (English,Spanish)",2007,Stern
fg_110af,"Family Guy v11.0 (English,French)",2007,Stern
fg_110ag,"Family Guy v11.0 (English,German)",2007,Stern
fg_110ai,"Family Guy v11.0 (English,Italian)",2007,Stern
fg_110al,"Family Guy v11.0 (English,Spanish)",2007,Stern
fg_120af,"Family Guy v12.0 (English,French)",2007,Stern
fg_120ag,"Family Guy v12.0 (English,German)",2007,Stern
fg_120ai,"Family Guy v12.0 (English,Italian)",2007,Stern
fg_120al,"Family Guy v12.0 (English,Spanish)",2007,Stern
fg_300ai,"Family Guy v3.0 (English,Italian)",2007,Stern
fg_400a,Family Guy v4.0 (English),2007,Stern
fg_400ag,"Family Guy v4.0 (English,German)",2007,Stern
fg_700af,"Family Guy v7.0 (English,French)",2007,Stern
fg_700al,"Family Guy v7.0 (English,Spanish)",2007,Stern
fg_800al,"Family Guy v8.0 (English,Spanish)",2007,Stern
fghtatck,Fighter & Attacker (US),1992,Namco
fghtbskt,Fighting Basketball,1984,Paradise Co. Ltd.
fghthist,"Fighter's History (World ver 43-09, DE-0395-1 PCB)",1993,Data East Corporation
fghthista,"Fighter's History (World ver 43-07, DE-0380-2 PCB)",1993,Data East Corporation
fghthistb,"Fighter's History (World ver 43-05, DE-0380-2 PCB)",1993,Data East Corporation
fghthistj,"Fighter's History (Japan ver 41-07, DE-0395-1 PCB)",1993,Data East Corporation
fghthistja,"Fighter's History (Japan ver 41-05, DE-0380-2 PCB)",1993,Data East Corporation
fghthistjb,"Fighter's History (Japan ver 41-04, DE-0380-1 PCB)",1993,Data East Corporation
fghthistu,"Fighter's History (US ver 42-09, DE-0396-0 PCB)",1993,Data East Corporation
fghthistua,"Fighter's History (US ver 42-06, DE-0395-1 PCB)",1993,Data East Corporation
fghthistub,"Fighter's History (US ver 42-05, DE-0395-1 PCB)",1993,Data East Corporation
fghthistuc,"Fighter's History (US ver 42-03, DE-0380-2 PCB)",1993,Data East Corporation
fghtjam,Capcom Fighting Jam (JAM1 Ver. A),2004,Capcom / Namco
fghtmn,Fighting Mania (QG918 VER. EAA),2000,Konami
fghtmna,Fighting Mania (QG918 VER. AAA),2000,Konami
fghtmnk,Fighting Mania (QG918 VER. KAA),2000,Konami
fghtmnu,Fighting Mania (QG918 VER. UAA),2000,Konami
fgoal,Field Goal (set 1),1979,Taito
fgoala,Field Goal (set 2),1979,Taito
fgtlayer,"Fighting Layer (Japan, FTL1/VER.A)",1998,Arika / Namco
fh_905h,Funhouse 9.05H,1996,Williams
fh_l3,Funhouse L-3,1990,Williams
fh_l4,Funhouse L-4,1990,Williams
fh_l5,Funhouse L-5,1990,Williams
fh_l9,Funhouse L-9 (SL-2m),1990,Williams
fh_l9b,Funhouse L-9 (SL-2m) Bootleg Improved German translation,1990,Williams
fhawk,Fighting Hawk (World),1988,Taito Corporation Japan
fhawkj,Fighting Hawk (Japan),1988,Taito Corporation
fhboxers,Funky Head Boxers (JUETBKAL 951218 V1.000),1995,Sega
fhunter,"Fortune Hunter (2XF5196I01, USA)",1996,Aristocrat
fhuntera,"Fortune Hunter (2XF5196I02, USA)",1996,Aristocrat
fi6845,Fast Invaders (6845 version),1979,Fiberglass
fi8275,Fast Invaders (8275 version),1979,Fiberglass
ficpio2,486-PIO-2,1995,FIC
ficvt503,VT-503,1997,FIC
fidlstix,Fiddle Stix (1st Rev),1995,Quick $ilver Development Co.
fieldday,Field Day,1984,Taito Corporation
fifo7200,IDT7200 FIFO,,
fightfev,Fight Fever (set 1),1994,Viccom
fightfeva,Fight Fever (set 2),1994,Viccom
fightrol,Fighting Roller,1983,Kaneko (Taito license)
filetto,Filetto (v1.05 901009),1990,Novarmatic
filetto_cga,ISA8_CGA_FILETTO,,
filter_rc,RC Filter,,
filter_volume,Volume Filter,,
filthyr,Filthy Rich (Russian),200?,WMS
finalap2,Final Lap 2,1990,Namco
finalap2j,Final Lap 2 (Japan),1990,Namco
finalap3,"Final Lap 3 (World, set 1)",1992,Namco
finalap3a,"Final Lap 3 (World, set 2)",1992,Namco
finalap3bl,Final Lap 3 (bootleg),1992,Namco
finalap3j,Final Lap 3 (Japan),1992,Namco
finalap3jc,Final Lap 3 (Japan - Rev C),1992,Namco
finalapr,Final Lap R (Rev. B),1995,Namco
finalaprj,Final Lap R (Japan Rev. C),1995,Namco
finalapro,Final Lap R,1995,Namco
finalb,Final Blow (World),1988,Taito Corporation Japan
finalbj,Final Blow (Japan),1988,Taito Corporation
finalbny,Mahjong Final Bunny [BET] (Japan),1991,Nichibutsu
finalbu,Final Blow (US),1988,Taito America Corporation
finalchs,Final Chess Card,,
finalgdr,"Final Godori (Korea, version 2.20.5915)",2001,SemiCom
finalizr,Finalizer - Super Transformation,1985,Konami
finalizrb,Finalizer - Super Transformation (bootleg),1985,bootleg
finallap,Final Lap (Rev E),1987,Namco
finallapc,Final Lap (Rev C),1987,Namco
finallapd,Final Lap (Rev D),1987,Namco
finallapjb,"Final Lap (Japan, Rev B)",1987,Namco
finallapjc,"Final Lap (Japan, Rev C)",1987,Namco
finalttr,Final Tetris,1993,Jeil Computer System
findlove,Zenkoku Seifuku Bishoujo Grand Prix Find Love (J 971212 V1.000),1997,Daiki / FCF
findout,Find Out (Version 4.04),1987,Elettronolo
finehour,Finest Hour (Japan),1989,Namco
finfurl,Final Furlong (FF2 Ver. A),1997,Namco
finfurl2,Final Furlong 2 (World),1999,Namco
finfurl2j,Final Furlong 2 (Japan),1999,Namco
finlarch,Final Arch (J 950714 V1.001),1995,Sega
fire_l3,Fire! (L-3),1987,Williams
fireact,Fire Action,1981,Taito do Brasil
fireactd,Fire Action Deluxe,198?,Taito do Brasil
fireball,Fireball,1989,Valco
firebarr,Fire Barrel (Japan),1993,Irem
firebatl,Fire Battle,1984,Taito
firebeas,Firebeast (prototype),1983,Atari
firebird,Hot Fire Birds,1985,NSM
firefox,Fire Fox (set 1),1984,Atari
firefoxa,Fire Fox (set 2),1984,Atari
firehawk,Fire Hawk (horizontal),2001,ESD
firehawkv,Fire Hawk (switchable orientation),2001,ESD
firemntn,Fire Mountain,1980,Zaccaria
fireone,Fire One,1979,Exidy
fireshrk,Fire Shark,1990,Toaplan
fireshrka,Fire Shark (earlier),1989,Toaplan
fireshrkd,"Fire Shark (Korea, set 1, easier)",1990,Toaplan (Dooyong license)
fireshrkdh,"Fire Shark (Korea, set 2, harder)",1990,Toaplan (Dooyong license)
firetrap,"Fire Trap (US, set 1)",1986,Wood Place Inc. (Data East USA license)
firetrapa,"Fire Trap (US, set 2)",1986,Wood Place Inc. (Data East USA license)
firetrapbl,Fire Trap (Japan bootleg),1986,bootleg
firetrapj,Fire Trap (Japan),1986,Wood Place Inc.
firetrk,Fire Truck / Smokey Joe,1978,Atari
firstcl,First Class Traveller (set 1),2002?,Novotech
fishfren,Fishin' Frenzy (prototype),1995,Time Warner Interactive
fitegolf,Fighting Golf (World?),1988,SNK
fitegolf2,"Fighting Golf (US, Ver 2)",1988,SNK
fitegolfu,Fighting Golf (US),1988,SNK
fitfight,Fit of Fighting,199?,bootleg
fitter,Fitter,1981,Taito Corporation
fitterbl,Fitter (bootleg of Round-Up),1981,bootleg
fiveside,Five a Side Soccer (ver UAA),1995,Konami
fixeight,FixEight (Europe),1992,Toaplan
fixeighta,FixEight (Southeast Asia),1992,Toaplan
fixeightat,"FixEight (Southeast Asia, Taito license)",1992,Toaplan (Taito license)
fixeightbl,"FixEight (Korea, bootleg)",1992,bootleg
fixeighth,FixEight (Hong Kong),1992,Toaplan
fixeightht,"FixEight (Hong Kong, Taito license)",1992,Toaplan (Taito license)
fixeightj,FixEight (Japan),1992,Toaplan
fixeightjt,"FixEight (Japan, Taito license)",1992,Toaplan (Taito license)
fixeightk,FixEight (Korea),1992,Toaplan
fixeightkt,"FixEight (Korea, Taito license)",1992,Toaplan (Taito license)
fixeightt,"FixEight (Europe, Taito license)",1992,Toaplan (Taito license)
fixeighttw,FixEight (Taiwan),1992,Toaplan
fixeighttwt,"FixEight (Taiwan, Taito license)",1992,Toaplan (Taito license)
fixeightu,FixEight (USA),1992,Toaplan
fixeightut,"FixEight (USA, Taito license)",1992,Toaplan (Taito license)
fixfreq,Fixed Frequency Monochrome Monitor,,
fjbuster,Fujiyama Buster (Japan),1992,Kaneko
fjholden,FJ Holden,1978,Hankin
fk1,FK-1,1989,Statni statek Klicany
flagrall,96 Flag Rally,1996?,<unknown>
flamegun,Flame Gunner,1999,Gaps Inc.
flamegunj,Flame Gunner (Japan),1999,Gaps Inc.
flash_l1,Flash (L-1),1979,Williams
flash_l2,Flash (L-2),1979,Williams
flash_t1,Flash (T-1) Ted Estes,1979,Williams
flashgal,Flashgal (set 1),1985,Kyugo / Sega
flashgala,Flashgal (set 2),1985,Kyugo / Sega
flashgdn,Flash Gordon,1981,Bally
flashgdnf,Flash Gordon (French),1981,Bally
flashgdnp1,Flash Gordon (prototype rev. 1),1981,Bally
flashgdnp2,Flash Gordon (prototype rev. 2),1981,Bally
flashgdnv,Flash Gordon (Vocalizer sound),1981,Bally
fldragon,Flash Dragon,1986,Playmatic
flicker,Flicker (prototype),1974,Dave Nutting Associates / Bally
flicky,"Flicky (128k Version, System 2, 315-5051)",1984,Sega
flickyo,"Flicky (64k Version, System 1, 315-5051, set 1)",1984,Sega
flickys1,"Flicky (64k Version, System 1, 315-5051, set 2)",1984,Sega
flickys2,"Flicky (128k Version, System 2, not encrypted)",1984,Sega
flight2k,Flight 2000,1980,Stern
flipjack,Flipper Jack,1983?,"Jackson Co., Ltd."
flipmaze,Flip Maze (V2.04J),1999,MOSS / Taito
flipshot,Battle Flip Shot,1998,Visco
flipull,Flipull (Japan),1989,Taito Corporation
flkatck,Flak Attack (Japan),1987,Konami
flkatcka,"Flak Attack (Japan, PWB 450593 sub-board)",1987,Konami
floppy_35_dd,"3.5\"" double density floppy drive",,
floppy_35_ed,"3.5\"" extended density floppy drive",,
floppy_35_hd,"3.5\"" high density floppy drive",,
floppy_35_ssdd,"3.5\"" single-sided double density floppy drive",,
floppy_3_dsdd,"3\"" double sided floppy drive",,
floppy_3_ssdd,"3\"" single sided floppy drive",,
floppy_525_dd,"5.25\"" double density floppy drive",,
floppy_525_hd,"5.25\"" high density floppy drive",,
floppy_525_qd,"5.25\"" quad density floppy drive",,
floppy_525_sd,"5.25\"" single density floppy drive",,
floppy_525_sd_35t,"5.25\"" single density 35-track floppy drive",,
floppy_525_ssdd,"5.25\"" single-sided double density floppy drive",,
floppy_525_ssqd,"5.25\"" single-sided quad density floppy drive",,
floppy_525_sssd,"5.25\"" single-sided single density floppy drive",,
floppy_525_sssd_35t,"5.25\"" single-sided single density 35-track floppy drive",,
floppy_8_dsdd,"8\"" double density double sided floppy drive",,
floppy_8_dssd,"8\"" single density double sided floppy drive",,
floppy_8_ssdd,"8\"" double density single sided floppy drive",,
floppy_8_sssd,"8\"" single density single sided floppy drive",,
floppy_apple,Apple Disk II,,
floppy_connector,Floppy drive connector abstraction,,
floppy_sonny,Floppy Disk [Sony],,
flopsnd,Floppy sound,,
flower,Flower (US),1986,Clarue (Komax license)
flower_sound,Flower Audio Custom,,
flowerj,Flower (Japan),1986,Clarue (Sega / Alpha Denshi Co. license)
flstory,The FairyLand Story,1985,Taito
flstoryj,The FairyLand Story (Japan),1985,Taito
flyball,Flyball (rev 2),1976,Atari
flyball1,Flyball (rev 1),1976,Atari
flyboy,Fly-Boy,1982,Kaneko
flyboyb,Fly-Boy (bootleg),1982,bootleg
flytiger,Flying Tiger (set 1),1992,Dooyong
flytigera,Flying Tiger (set 2),1992,Dooyong
fm11,FM-11 EX,1982,Fujitsu
fm16beta,FM-16β,1982,Fujitsu
fm7,FM-7,1982,Fujitsu
fm7740sx,FM-77AV40SX,1985,Fujitsu
fm77av,FM-77AV,1985,Fujitsu
fm8,FM-8,1981,Fujitsu
fmaniac3,Fishing Maniac 3,2002,Saero Entertainment
fmnew7,FM-NEW7,1984,Fujitsu
fmscsi,FM-SCSI,,
fmtmarty,FM-Towns Marty,1993,Fujitsu
fmtmarty2,FM-Towns Marty 2,1993,Fujitsu
fmtowns,FM-Towns,1989,Fujitsu
fmtownsa,FM-Towns (alternate),1989,Fujitsu
fmtownsftv,FM-Towns II FreshTV,1994,Fujitsu
fmtownshr,FM-Towns II HR,1992,Fujitsu
fmtownsmx,FM-Towns II MX,1993,Fujitsu
fmtownssj,FM-Towns II SJ,19??,Fujitsu
fmtownsux,FM-Towns II UX,1991,Fujitsu
fmx,FM-X (MSX1),1983,Fujitsu
fncywld,Fancy World - Earth of Crisis,1996,Unico
fnkyfish,Funky Fish,1981,Sun Electronics
fnshark,Flyin' Shark (bootleg of Hishou Zame),1987,bootleg
fnvision,FunVision,1982,Video Technology
foathens,Flame of Athens,1978,Allied Leisure
foodf,Food Fight (rev 3),1982,General Computer Corporation (Atari license)
foodf1,Food Fight (rev 1),1982,General Computer Corporation (Atari license)
foodf2,Food Fight (rev 2),1982,General Computer Corporation (Atari license)
foodfc,Food Fight (cocktail),1982,General Computer Corporation (Atari license)
footchmp,Football Champ (World),1990,Taito Corporation Japan
footchmpbl,Football Champ (World) (bootleg),1992,bootleg
forcebrk,Force Break (bootleg),1986,bootleg
forceii,Force II,1981,Gottlieb
forgottn,"Forgotten Worlds (World, newer)",1988,Capcom
forgottna,Forgotten Worlds (World),1988,Capcom
forgottnu,"Forgotten Worlds (USA, B-Board 88621B-2, Rev. C)",1988,Capcom
forgottnu1,"Forgotten Worlds (USA, B-Board 88618B-2, Rev. C)",1988,Capcom
forgottnua,"Forgotten Worlds (USA, B-Board 88618B-2, Rev. A)",1988,Capcom
forgottnuaa,"Forgotten Worlds (USA, B-Board 88618B-2, Rev. AA)",1988,Capcom
formatz,Formation Z,1984,Jaleco
fort2b,Fortress 2 Blue Arcade (ver 1.01 / pcb ver 3.05),2001,Eolith
fort2ba,Fortress 2 Blue Arcade (ver 1.00 / pcb ver 3.05),2001,Eolith
fortecar,"Forte Card (Ver 103, English)",1994,Fortex Ltd
fortecrd,"Forte Card (Ver 110, Spanish)",1994,Fortex Ltd
fortune1,Fortune I (PK485-S) Draw Poker,1984,IGT - International Game Technology
fotns,Fist Of The North Star,2005,Arc System Works / Sega
fourtrax,Four Trax,1989,Namco
fourx4,4x4,1982,Atari
foxylady,Foxy Lady,1978,Game Plan
fp,Apricot Portable / FP,1984,ACT
fp1100,FP-1100,1983,Casio
fp200,FP-200 (Japan),1982,Casio
fp6000,FP-6000,1985,Casio
fpc500,FPC-500 (MSX1),1984,Fenner
fpc900,FPC-900 (MSX2),198?,Fenner
fpoint,"Flash Point (set 2, Japan) (FD1094 317-0127A)",1989,Sega
fpoint1,"Flash Point (set 1, Japan) (FD1094 317-0127A)",1989,Sega
fpoint1d,"Flash Point (set 1, Japan) (bootleg of FD1094 317-0127A set)",1989,bootleg
fpointbj,"Flash Point (Japan, bootleg)",1989,bootleg (Datsu)
fpointbl,"Flash Point (World, bootleg)",1989,bootleg (Datsu)
fpointd,"Flash Point (set 2, Japan) (bootleg of FD1094 317-0127A set)",1989,bootleg
fpwr2_l2,Firepower II (L-2),1983,Williams
frankst,Mary Shelley's Frankenstein,1994,Sega
frankstg,Mary Shelley's Frankenstein (Germany),1995,Sega
franticf,Frantic Fred,1996,The Game Room
freddy,Freddy: A Nightmare on Elm Street (rev.3),1994,Gottlieb
freddy4,Freddy: A Nightmare on Elm Street (rev.4),1994,Gottlieb
fredmem,"Fred Flintstones' Memory Match (World?, Ticket version, 3/17/95)",1994,Coastal Amusements
fredmemc,"Fred Flintstones' Memory Match (Mandarin Chinese, 3/17/95)",1994,Coastal Amusements
fredmemj,"Fred Flintstones' Memory Match (Japan, High Score version, 3/20/95)",1994,Coastal Amusements
fredmemuk,"Fred Flintstones' Memory Match (UK, 3/17/95)",1994,Coastal Amusements
fredmemus,"Fred Flintstones' Memory Match (US, High Score version, 3/10/95)",1994,Coastal Amusements
fredmesp,"Fred Flintstones' Memory Match (Spanish, 3/17/95)",1994,Coastal Amusements
freedom,Freedom,1977,Bally
freefall,Freefall,1981,Stern
freekick,Free Kick (NS6201-A 1987.10),1987,Nihon System (Merit license)
freekicka,Free Kick (NS6201-A 1987.9),1987,Nihon System
freekickb1,Free Kick (bootleg set 1),1987,bootleg
freekickb2,Free Kick (bootleg set 2),1987,bootleg
freekickb3,Free Kick (bootleg set 3),1987,bootleg
freeze,Freeze,1984,Cinematronics
freezeat,"Freeze (Atari) (prototype, English voice, 96/10/25)",1996,Atari Games
freezeat2,"Freeze (Atari) (prototype, 96/10/18)",1996,Atari Games
freezeat3,"Freeze (Atari) (prototype, 96/10/07)",1996,Atari Games
freezeat4,"Freeze (Atari) (prototype, 96/10/03)",1996,Atari Games
freezeat5,"Freeze (Atari) (prototype, 96/09/20, AMOA-96)",1996,Atari Games
freezeat6,"Freeze (Atari) (prototype, 96/09/07, Jamma-96)",1996,Atari Games
freezeatjp,"Freeze (Atari) (prototype, Japanese voice, 96/10/25)",1996,Atari Games
frenzy,Frenzy,1981,Stern Electronics
fresh,Fruit Fresh (Italy),1996,Chain Leisure
friskyt,Frisky Tom (set 1),1981,Nichibutsu
friskyta,Frisky Tom (set 2),1981,Nichibutsu
friskytb,"Frisky Tom (set 3, encrypted)",1981,Nichibutsu
frogf,Frog (Falcon bootleg),1981,bootleg (Falcon)
frogg,Frog (Galaxian hardware),1981,bootleg
frogger,Frogger,1981,Konami
froggeram,Frogger (bootleg on Amigo? hardware),1981,bootleg
froggermc,Frogger (Moon Cresta hardware),1981,Konami (Sega license)
froggers,Frog,1981,bootleg
froggers1,Frogger (Sega set 1),1981,Konami (Sega license)
froggers2,Frogger (Sega set 2),1981,Konami (Sega license)
froggers3,Frogger (Sega set 3),1981,Konami (Sega license)
froggerv,Frogger (Videotron bootleg),1981,bootleg (Videotron / Gamepack)
froggrs,Frogger (Scramble hardware),1981,bootleg (Coin Music)
frogs,Frogs,1978,Gremlin
fromanc2,Taisen Idol-Mahjong Final Romance 2 (Japan),1995,Video System Co.
fromanc4,Taisen Mahjong Final Romance 4 (Japan),1998,Video System Co.
fromance,Idol-Mahjong Final Romance (Japan),1991,Video System Co.
fromancr,Taisen Mahjong Final Romance R (Japan),1995,Video System Co.
frontier,Frontier,1980,Bally
frontlin,Front Line,1982,Taito Corporation
fround,The Final Round (version M),1988,Konami
froundl,The Final Round (version L),1988,Konami
frpwr_l2,Firepower (L-2),1980,Williams
frpwr_l6,Firepower (L-6),1980,Williams
frpwr_t6,Firepower (T-6),1980,Williams
fruitbun,Fruits & Bunny (World?),1984,Nichibutsu
fruitpar,Fruit Paradise (V214),200?,IGS
fruitpc,Fruit Land,2006,<unknown>
fruitstb,Fruit Star Bonus (Ver 8.20PIR),1997,Webak Elektronik
fruitstr,Fruit Star (encrypted),1992,Fun World
fs1300,FS-1300 (Japan) (MSX1),1985,National / Matsushita
fs4000,FS-4000 (Japan) (MSX1),1985,National / Matsushita
fs4000a,FS-4000 (alt) (Japan) (MSX1),1985,National / Matsushita
fs4500,FS-4500 (Japan) (MSX2),1986,National / Matsushita
fs4600,FS-4600 (Japan) (MSX2),1986,National / Matsushita
fs4700,FS-4700 (Japan) (MSX2),1986,National / Matsushita
fs5000,FS-5000F2 (Japan) (MSX2),1986,National / Matsushita
fs5500f1,FS-5500F1 (Japan) (MSX2),1985,National / Matsushita
fs5500f2,FS-5500F2 (Japan) (MSX2),1985,National / Matsushita
fs_lx2,The Flintstones (LX-2),1994,Williams
fs_lx4,The Flintstones (LX-4),1994,Williams
fs_lx5,The Flintstones (LX-5),1994,Williams
fs_sp2,The Flintstones (SP-2),1994,Williams
fsa1,FS-A1 / 1st released version (Japan) (MSX2),1986,Panasonic / Matsushita
fsa1a,FS-A1 / 2nd released version (Japan) (MSX2),1986,Panasonic / Matsushita
fsa1f,FS-A1F (Japan) (MSX2),1987,Panasonic / Matsushita
fsa1fm,FS-A1FM (Japan) (MSX2),1987,Panasonic / Matsushita
fsa1fx,FS-A1FX (Japan) (MSX2+),1988,Panasonic / Matsushita
fsa1gt,FS-A1GT (MSX Turbo-R),19??,Panasonic
fsa1mk2,FS-A1MK2 (Japan) (MSX2),1987,Panasonic / Matsushita
fsa1st,FS-A1ST (MSX Turbo-R),19??,Panasonic
fsa1wsx,FS-A1WSX (Japan) (MSX2+),1989,Panasonic / Matsushita
fsa1wx,FS-A1WX / 1st released version (Japan) (MSX2+),1988,Panasonic / Matsushita
fsa1wxa,FS-A1WX / 2nd released version (Japan) (MSX2+),1988,Panasonic / Matsushita
fscc12,Sensory Chess Challenger 12-B,1984,Fidelity Electronics
fsd1,FSD-1,,
fsd2,FSD-2,,
fshark,Flying Shark (World),1987,Toaplan / Taito Corporation
fsharkbt,Flying Shark (bootleg with 8741),1987,bootleg
fsoccer,Fighting Soccer (version 4),1988,SNK
fsoccerb,Fighting Soccer (Joystick hack bootleg),1988,bootleg
fsoccerba,"Fighting Soccer (Joystick hack bootleg, alt)",1988,bootleg
fsoccerj,Fighting Soccer (Japan),1988,SNK
fspc800,SPC-800 (MSX1) ,1986,Fenner
fspiderb,Frog & Spiders (bootleg?),1981,Taito Corporation
fstarfrc,Final Star Force (US),1992,Tecmo
fstarfrcj,Final Star Force (Japan),1992,Tecmo
fstation,Fun Station Spielekoffer 9 Spiele,2000,ADP
fstm1,FS-TM1 (MSX2),1985,Toshiba
fswords,Fighters Swords (Korean release of Samurai Shodown III),1995,SNK
ft68m,FT-68M,198?,Forward Technology
